LGBM Params || Macro F1 | Recall C0 | Recall C1 | Recall C2
------------------------------------------------------------------------------------------
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.445 | Rec0: 0.387 | Rec1: 0.367 | Rec2: 0.883
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.454 | Rec0: 0.433 | Rec1: 0.323 | Rec2: 0.873
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.454 | Rec0: 0.433 | Rec1: 0.323 | Rec2: 0.873
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.454 | Rec0: 0.426 | Rec1: 0.331 | Rec2: 0.874
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.454 | Rec0: 0.426 | Rec1: 0.331 | Rec2: 0.874
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.451 | Rec0: 0.427 | Rec1: 0.320 | Rec2: 0.871
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.451 | Rec0: 0.427 | Rec1: 0.320 | Rec2: 0.871
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.464 | Rec0: 0.454 | Rec1: 0.321 | Rec2: 0.868
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.464 | Rec0: 0.454 | Rec1: 0.321 | Rec2: 0.868
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.462 | Rec0: 0.459 | Rec1: 0.308 | Rec2: 0.864
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.462 | Rec0: 0.459 | Rec1: 0.308 | Rec2: 0.864
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.469 | Rec0: 0.487 | Rec1: 0.300 | Rec2: 0.842
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.469 | Rec0: 0.487 | Rec1: 0.300 | Rec2: 0.842
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.473 | Rec0: 0.491 | Rec1: 0.306 | Rec2: 0.842
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.473 | Rec0: 0.491 | Rec1: 0.306 | Rec2: 0.842
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.459 | Rec0: 0.438 | Rec1: 0.330 | Rec2: 0.872
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.459 | Rec0: 0.438 | Rec1: 0.330 | Rec2: 0.872
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.467 | Rec0: 0.493 | Rec1: 0.284 | Rec2: 0.849
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.467 | Rec0: 0.493 | Rec1: 0.284 | Rec2: 0.849
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.464 | Rec0: 0.462 | Rec1: 0.312 | Rec2: 0.863
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.464 | Rec0: 0.462 | Rec1: 0.312 | Rec2: 0.863
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.474 | Rec0: 0.535 | Rec1: 0.260 | Rec2: 0.828
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.474 | Rec0: 0.535 | Rec1: 0.260 | Rec2: 0.828
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.470 | Rec0: 0.505 | Rec1: 0.280 | Rec2: 0.840
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.470 | Rec0: 0.505 | Rec1: 0.280 | Rec2: 0.840
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.479 | Rec0: 0.588 | Rec1: 0.227 | Rec2: 0.783
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.479 | Rec0: 0.588 | Rec1: 0.227 | Rec2: 0.783
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.465 | Rec0: 0.471 | Rec1: 0.304 | Rec2: 0.850
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.465 | Rec0: 0.471 | Rec1: 0.304 | Rec2: 0.850
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.467 | Rec0: 0.482 | Rec1: 0.296 | Rec2: 0.849
